,종류,상품명,가격,칼로리,나트륨,탄수화물,당류,지방,트랜스지방,포화지방,콜레스테롤,단백질,
91,탄산음료,농심)웰치스제로포도P500,"₩2,000",0Kcal,0mg,11g,0.0g,0.0g,0.0g,0.0g,0mg,0.0g,
92,탄산음료,롯데)탐스제로파인애플355,"₩1,500",5Kcal,40mg,8g,0.0g,0.0g,0.0g,0.0g,0mg,0.0g,
93,탄산음료,롯데)칠성사이다캔355ml,"₩1,900",155Kcal,9mg,39g,38.0g,0.0g,0.0g,0.0g,0mg,0.0g,
94,탄산음료,동아)데미소다애플캔250ml,"₩1,600",100Kcal,0mg,25g,25.0g,0.0g,0.0g,0.0g,0mg,0.0g,
95,탄산음료,롯데)밀키스캔250ml,"₩1,500",130Kcal,16mg,31g,31.0g,0.0g,0.0g,0.0g,0mg,1.0g,
96,탄산음료,농심)웰치포도캔355ml,"₩1,400",192Kcal,0mg,48g,46.0g,0.0g,0.0g,0.0g,0mg,0.0g,
97,탄산음료,롯데)펩시콜라캔355ml,"₩1,900",160Kcal,10mg,40g,40.0g,0.0g,0.0g,0.0g,0mg,0.0g,
98,탄산음료,코카)코카콜라제로캔355ml,"₩2,000",0Kcal,22mg,0g,0.0g,0.0g,0.0g,0.0g,0mg,0.0g,
99,탄산음료,코카)스프라이트제로캔355ml,"₩1,700",0Kcal,11mg,1g,0.0g,0.0g,0.0g,0.0g,0mg,0.0g,
100,탄산음료,롯데)마운틴듀캔250ml,"₩1,400",120Kcal,6mg,30g,30.0g,0.0g,0.0g,0.0g,0mg,0.0g,
101,유제품,빙그레)바나나우유240ml,"₩1,800",208Kcal,110mg,27g,27.0g,8.0g,0.0g,5.0g,30mg,7.0g,
102,유제품,서울)딸기우유300ml,"₩2,000",200Kcal,135mg,32g,30.0g,4.5g,0.0g,3.0g,15mg,8.0g,
103,유제품,서울)초코우유300ml,"₩2,000",205Kcal,135mg,33g,32.0g,4.5g,0.0g,3.0g,15mg,8.0g,
104,유제품,서울)흰우유200ml,"₩1,200",135Kcal,100mg,10g,10.0g,8.0g,0.5g,5.0g,25mg,6.0g,
105,유제품,매일)소화잘되는우유190ml,"₩1,200",107Kcal,70mg,6g,6.0g,6.5g,0.5g,4.0g,25mg,6.0g,
106,유제품,빙그레)딸기맛우유240ml,"₩1,800",195Kcal,110mg,27g,27.0g,7.0g,0.0g,4.5g,30mg,6.0g,
107,유제품,매일)우유속에딸기,"₩1,900",225Kcal,145mg,34g,26.0g,7.3g,0.5g,4.5g,30mg,6.0g,
108,유제품,서울)초코우유200ml,"₩1,200",135Kcal,90mg,22g,21.0g,3.0g,0.0g,2.0g,10mg,5.0g,
109,유제품,빙그레)바나나우유라이트,"₩1,800",142Kcal,110mg,21g,21.0g,3.6g,0.0g,2.5g,20mg,6.5g,
110,유제품,매일)멸균흰우유200ml,"₩1,200",120Kcal,100mg,9g,9.0g,6.8g,0.5g,4.0g,25mg,6.0g,
111,유제품,매일)허쉬초코드링크,"₩1,400",160Kcal,110mg,29g,27.0g,2.4g,0.0g,2.0g,5mg,5.0g,
112,유제품,연세)마카초코우유240ml,"₩1,800",191Kcal,150mg,32g,30.0g,4.6g,0.0g,2.7g,15mg,5.5g,
